,camp,date,hour,city,coord,prop,unit,value
91,air quality sensor measurement,2024/05/27,7,brest,"[4.49, 48.39]",O3,µg/m3,9.88
92,air quality sensor measurement,2024/05/27,10,lille,"[3.06, 50.63]",NO2,µg/m3,9.97
93,air quality sensor measurement,2024/05/31,6,lille,"[3.06, 50.63]",CO,mg/m3,0.55
94,air quality sensor measurement,2024/05/25,4,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,3.9
95,air quality sensor measurement,2024/05/29,8,strasbourg,"[7.75, 48.57]",CO,mg/m3,4.14
96,air quality sensor measurement,2024/05/31,20,strasbourg,"[7.75, 48.57]",NO2,µg/m3,0.16
97,air quality sensor measurement,2024/06/01,9,lille,"[3.06, 50.63]",PM2.5,µg/m3,9.58
98,air quality sensor measurement,2024/05/25,19,marseille,"[5.37, 43.3]",O3,µg/m3,8.93
99,air quality sensor measurement,2024/05/24,0,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,7.57
100,air quality sensor measurement,2024/06/02,17,strasbourg,"[7.75, 48.57]",PM10,µg/m3,3.99
101,air quality sensor measurement,2024/05/24,16,brest,"[4.49, 48.39]",PM2.5,µg/m3,8.99
102,air quality sensor measurement,2024/05/28,21,marseille,"[5.37, 43.3]",PM2.5,µg/m3,2.88
103,air quality sensor measurement,2024/05/24,3,brest,"[4.49, 48.39]",PM10,µg/m3,1.83
104,air quality sensor measurement,2024/05/29,1,marseille,"[5.37, 43.3]",PM2.5,µg/m3,9.46
105,air quality sensor measurement,2024/05/30,10,strasbourg,"[7.75, 48.57]",PM10,µg/m3,9.4
106,air quality sensor measurement,2024/05/31,2,strasbourg,"[7.75, 48.57]",CO,mg/m3,8.2
107,air quality sensor measurement,2024/05/31,20,marseille,"[5.37, 43.3]",CO,mg/m3,5.56
108,air quality sensor measurement,2024/05/27,1,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,6.37
109,air quality sensor measurement,2024/06/01,13,lille,"[3.06, 50.63]",CO,mg/m3,9.15
110,air quality sensor measurement,2024/05/28,18,strasbourg,"[7.75, 48.57]",CO,mg/m3,8.82
111,air quality sensor measurement,2024/05/28,10,brest,"[4.49, 48.39]",NO2,µg/m3,9.65
112,air quality sensor measurement,2024/06/01,8,lille,"[3.06, 50.63]",PM10,µg/m3,9.69
113,air quality sensor measurement,2024/05/30,10,brest,"[4.49, 48.39]",PM10,µg/m3,0.56
114,air quality sensor measurement,2024/05/24,4,strasbourg,"[7.75, 48.57]",O3,µg/m3,0.87
115,air quality sensor measurement,2024/05/28,10,toulouse,"[1.44, 43.6]",O3,µg/m3,9.04
116,air quality sensor measurement,2024/05/31,0,toulouse,"[1.44, 43.6]",CO,mg/m3,8.38
117,air quality sensor measurement,2024/05/29,1,brest,"[4.49, 48.39]",O3,µg/m3,5.84
118,air quality sensor measurement,2024/05/29,2,lille,"[3.06, 50.63]",PM2.5,µg/m3,2.78
119,air quality sensor measurement,2024/05/29,17,brest,"[4.49, 48.39]",O3,µg/m3,7.92
120,air quality sensor measurement,2024/05/30,6,lille,"[3.06, 50.63]",CO,mg/m3,3.35
121,air quality sensor measurement,2024/05/26,17,lille,"[3.06, 50.63]",PM10,µg/m3,7.65
122,air quality sensor measurement,2024/05/25,2,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,6.91
123,air quality sensor measurement,2024/05/30,5,toulouse,"[1.44, 43.6]",NO2,µg/m3,9.76
124,air quality sensor measurement,2024/05/28,8,strasbourg,"[7.75, 48.57]",PM10,µg/m3,2.55
125,air quality sensor measurement,2024/06/01,21,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,0.59
126,air quality sensor measurement,2024/06/02,5,lille,"[3.06, 50.63]",PM2.5,µg/m3,5.56
127,air quality sensor measurement,2024/05/30,20,brest,"[4.49, 48.39]",NO2,µg/m3,5.9
128,air quality sensor measurement,2024/05/26,4,lille,"[3.06, 50.63]",CO,mg/m3,4.26
129,air quality sensor measurement,2024/05/26,0,brest,"[4.49, 48.39]",NO2,µg/m3,2.73
130,air quality sensor measurement,2024/05/28,16,lille,"[3.06, 50.63]",O3,µg/m3,1.54
131,air quality sensor measurement,2024/05/29,18,strasbourg,"[7.75, 48.57]",O3,µg/m3,6.23
132,air quality sensor measurement,2024/05/26,2,lille,"[3.06, 50.63]",PM2.5,µg/m3,9.08
133,air quality sensor measurement,2024/05/24,18,toulouse,"[1.44, 43.6]",CO,mg/m3,4.79
134,air quality sensor measurement,2024/05/31,4,strasbourg,"[7.75, 48.57]",NO2,µg/m3,2.21
135,air quality sensor measurement,2024/05/30,9,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,0.23
136,air quality sensor measurement,2024/06/02,0,brest,"[4.49, 48.39]",O3,µg/m3,6.19
137,air quality sensor measurement,2024/05/29,4,strasbourg,"[7.75, 48.57]",NO2,µg/m3,9.47
138,air quality sensor measurement,2024/06/01,23,brest,"[4.49, 48.39]",PM2.5,µg/m3,1.23
139,air quality sensor measurement,2024/05/24,22,brest,"[4.49, 48.39]",O3,µg/m3,0.47
140,air quality sensor measurement,2024/05/30,19,brest,"[4.49, 48.39]",PM10,µg/m3,3.53
141,air quality sensor measurement,2024/05/27,22,brest,"[4.49, 48.39]",PM2.5,µg/m3,3.32
142,air quality sensor measurement,2024/05/29,21,strasbourg,"[7.75, 48.57]",O3,µg/m3,2.02
143,air quality sensor measurement,2024/05/29,23,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,0.09
144,air quality sensor measurement,2024/05/26,6,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,0.57
145,air quality sensor measurement,2024/06/01,23,marseille,"[5.37, 43.3]",PM2.5,µg/m3,2.41
146,air quality sensor measurement,2024/05/26,19,toulouse,"[1.44, 43.6]",O3,µg/m3,4.02
147,air quality sensor measurement,2024/06/01,12,lille,"[3.06, 50.63]",CO,mg/m3,5.53
148,air quality sensor measurement,2024/06/01,22,lille,"[3.06, 50.63]",CO,mg/m3,8.34
149,air quality sensor measurement,2024/05/28,16,lille,"[3.06, 50.63]",NO2,µg/m3,8.84
150,air quality sensor measurement,2024/05/27,17,marseille,"[5.37, 43.3]",PM2.5,µg/m3,5.68
151,air quality sensor measurement,2024/05/29,21,toulouse,"[1.44, 43.6]",PM10,µg/m3,4.34
152,air quality sensor measurement,2024/05/26,22,brest,"[4.49, 48.39]",CO,mg/m3,0.77
153,air quality sensor measurement,2024/05/31,19,marseille,"[5.37, 43.3]",NO2,µg/m3,0.23
154,air quality sensor measurement,2024/05/29,11,strasbourg,"[7.75, 48.57]",NO2,µg/m3,5.7
155,air quality sensor measurement,2024/06/02,22,lille,"[3.06, 50.63]",O3,µg/m3,6.35
156,air quality sensor measurement,2024/05/30,10,marseille,"[5.37, 43.3]",PM2.5,µg/m3,8.55
157,air quality sensor measurement,2024/05/29,11,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,3.51
158,air quality sensor measurement,2024/05/24,2,lille,"[3.06, 50.63]",PM2.5,µg/m3,8.01
159,air quality sensor measurement,2024/06/01,6,toulouse,"[1.44, 43.6]",PM10,µg/m3,5.97
160,air quality sensor measurement,2024/06/02,20,lille,"[3.06, 50.63]",NO2,µg/m3,0.3
161,air quality sensor measurement,2024/05/28,14,brest,"[4.49, 48.39]",PM2.5,µg/m3,9.76
162,air quality sensor measurement,2024/05/27,0,lille,"[3.06, 50.63]",O3,µg/m3,4.22
163,air quality sensor measurement,2024/05/31,15,brest,"[4.49, 48.39]",PM2.5,µg/m3,7.1
164,air quality sensor measurement,2024/05/29,4,brest,"[4.49, 48.39]",PM2.5,µg/m3,9.03
165,air quality sensor measurement,2024/05/26,19,marseille,"[5.37, 43.3]",PM10,µg/m3,4.16
166,air quality sensor measurement,2024/05/27,8,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,5.69
167,air quality sensor measurement,2024/06/01,8,strasbourg,"[7.75, 48.57]",NO2,µg/m3,1.81
168,air quality sensor measurement,2024/05/28,2,brest,"[4.49, 48.39]",PM10,µg/m3,3.21
169,air quality sensor measurement,2024/05/24,5,strasbourg,"[7.75, 48.57]",CO,mg/m3,4.02
170,air quality sensor measurement,2024/05/31,17,lille,"[3.06, 50.63]",CO,mg/m3,8.82
171,air quality sensor measurement,2024/05/30,17,lille,"[3.06, 50.63]",PM2.5,µg/m3,4.13
172,air quality sensor measurement,2024/05/28,10,strasbourg,"[7.75, 48.57]",NO2,µg/m3,7.04
173,air quality sensor measurement,2024/06/01,10,brest,"[4.49, 48.39]",PM2.5,µg/m3,8.21
174,air quality sensor measurement,2024/05/24,4,lille,"[3.06, 50.63]",NO2,µg/m3,6.6
175,air quality sensor measurement,2024/05/24,11,marseille,"[5.37, 43.3]",PM10,µg/m3,7.67
176,air quality sensor measurement,2024/05/27,4,lille,"[3.06, 50.63]",PM2.5,µg/m3,3.85
177,air quality sensor measurement,2024/05/31,9,strasbourg,"[7.75, 48.57]",O3,µg/m3,8.8
178,air quality sensor measurement,2024/05/31,8,marseille,"[5.37, 43.3]",CO,mg/m3,4.29
179,air quality sensor measurement,2024/06/02,5,marseille,"[5.37, 43.3]",CO,mg/m3,5.59
180,air quality sensor measurement,2024/05/24,23,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,0.15
181,air quality sensor measurement,2024/05/27,18,toulouse,"[1.44, 43.6]",PM10,µg/m3,5.12
182,air quality sensor measurement,2024/05/29,9,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,8.16
183,air quality sensor measurement,2024/05/28,3,lille,"[3.06, 50.63]",O3,µg/m3,5.18
184,air quality sensor measurement,2024/05/31,16,lille,"[3.06, 50.63]",PM2.5,µg/m3,1.3
185,air quality sensor measurement,2024/05/26,20,strasbourg,"[7.75, 48.57]",CO,mg/m3,5.39
186,air quality sensor measurement,2024/05/30,6,lille,"[3.06, 50.63]",O3,µg/m3,4.8
187,air quality sensor measurement,2024/05/27,15,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,9.93
188,air quality sensor measurement,2024/05/25,11,marseille,"[5.37, 43.3]",PM2.5,µg/m3,5.53
189,air quality sensor measurement,2024/05/29,10,toulouse,"[1.44, 43.6]",CO,mg/m3,5.36
190,air quality sensor measurement,2024/05/26,14,lille,"[3.06, 50.63]",O3,µg/m3,1.52
191,air quality sensor measurement,2024/05/24,11,lille,"[3.06, 50.63]",NO2,µg/m3,1.77
192,air quality sensor measurement,2024/05/28,0,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,0.67
193,air quality sensor measurement,2024/05/28,21,marseille,"[5.37, 43.3]",CO,mg/m3,2.45
194,air quality sensor measurement,2024/05/28,22,brest,"[4.49, 48.39]",PM2.5,µg/m3,5.27
195,air quality sensor measurement,2024/05/24,10,strasbourg,"[7.75, 48.57]",O3,µg/m3,8.74
196,air quality sensor measurement,2024/05/29,10,brest,"[4.49, 48.39]",NO2,µg/m3,5.49
197,air quality sensor measurement,2024/05/27,4,strasbourg,"[7.75, 48.57]",CO,mg/m3,3.16
198,air quality sensor measurement,2024/05/30,16,marseille,"[5.37, 43.3]",NO2,µg/m3,0.83
199,air quality sensor measurement,2024/05/30,9,lille,"[3.06, 50.63]",PM2.5,µg/m3,7.74
200,air quality sensor measurement,2024/06/02,9,toulouse,"[1.44, 43.6]",CO,mg/m3,9.96
201,air quality sensor measurement,2024/06/01,13,toulouse,"[1.44, 43.6]",O3,µg/m3,7.5
202,air quality sensor measurement,2024/05/30,15,brest,"[4.49, 48.39]",CO,mg/m3,1.14
203,air quality sensor measurement,2024/05/25,18,toulouse,"[1.44, 43.6]",O3,µg/m3,0.19
204,air quality sensor measurement,2024/05/30,9,lille,"[3.06, 50.63]",NO2,µg/m3,9.01
205,air quality sensor measurement,2024/05/30,17,brest,"[4.49, 48.39]",NO2,µg/m3,7.87
206,air quality sensor measurement,2024/06/01,18,marseille,"[5.37, 43.3]",PM10,µg/m3,1.32
207,air quality sensor measurement,2024/05/26,10,toulouse,"[1.44, 43.6]",PM10,µg/m3,0.4
208,air quality sensor measurement,2024/05/29,8,marseille,"[5.37, 43.3]",O3,µg/m3,8.12
209,air quality sensor measurement,2024/05/24,20,toulouse,"[1.44, 43.6]",O3,µg/m3,0.28
210,air quality sensor measurement,2024/05/25,20,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,0.67
211,air quality sensor measurement,2024/05/29,14,brest,"[4.49, 48.39]",O3,µg/m3,5.39
212,air quality sensor measurement,2024/05/25,19,marseille,"[5.37, 43.3]",NO2,µg/m3,1.12
213,air quality sensor measurement,2024/05/27,22,brest,"[4.49, 48.39]",CO,mg/m3,2.15
214,air quality sensor measurement,2024/05/31,8,toulouse,"[1.44, 43.6]",O3,µg/m3,5.24
215,air quality sensor measurement,2024/05/27,20,lille,"[3.06, 50.63]",PM2.5,µg/m3,8.26
216,air quality sensor measurement,2024/05/30,20,brest,"[4.49, 48.39]",CO,mg/m3,5.44
217,air quality sensor measurement,2024/05/26,11,strasbourg,"[7.75, 48.57]",NO2,µg/m3,0.25
218,air quality sensor measurement,2024/05/25,1,toulouse,"[1.44, 43.6]",O3,µg/m3,3.35
219,air quality sensor measurement,2024/05/27,13,toulouse,"[1.44, 43.6]",CO,mg/m3,5.07
220,air quality sensor measurement,2024/06/02,4,brest,"[4.49, 48.39]",PM2.5,µg/m3,5.86
221,air quality sensor measurement,2024/06/02,4,brest,"[4.49, 48.39]",O3,µg/m3,6.29
222,air quality sensor measurement,2024/05/28,15,lille,"[3.06, 50.63]",PM2.5,µg/m3,6.81
223,air quality sensor measurement,2024/06/02,20,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,5.73
224,air quality sensor measurement,2024/05/28,22,toulouse,"[1.44, 43.6]",PM10,µg/m3,6.18
225,air quality sensor measurement,2024/05/31,21,marseille,"[5.37, 43.3]",NO2,µg/m3,6.07
226,air quality sensor measurement,2024/06/01,13,brest,"[4.49, 48.39]",O3,µg/m3,4.71
227,air quality sensor measurement,2024/05/26,23,toulouse,"[1.44, 43.6]",O3,µg/m3,5.29
228,air quality sensor measurement,2024/05/29,3,toulouse,"[1.44, 43.6]",CO,mg/m3,3.27
229,air quality sensor measurement,2024/05/26,4,strasbourg,"[7.75, 48.57]",PM2.5,µg/m3,9.0
230,air quality sensor measurement,2024/05/29,18,marseille,"[5.37, 43.3]",NO2,µg/m3,3.9
231,air quality sensor measurement,2024/06/02,5,toulouse,"[1.44, 43.6]",NO2,µg/m3,2.91
232,air quality sensor measurement,2024/05/25,11,lille,"[3.06, 50.63]",O3,µg/m3,4.53
233,air quality sensor measurement,2024/05/30,20,marseille,"[5.37, 43.3]",NO2,µg/m3,4.13
234,air quality sensor measurement,2024/06/01,18,brest,"[4.49, 48.39]",PM2.5,µg/m3,0.26
235,air quality sensor measurement,2024/05/26,17,brest,"[4.49, 48.39]",O3,µg/m3,6.1
236,air quality sensor measurement,2024/05/30,5,marseille,"[5.37, 43.3]",PM10,µg/m3,1.2
237,air quality sensor measurement,2024/05/24,22,toulouse,"[1.44, 43.6]",PM10,µg/m3,9.96
238,air quality sensor measurement,2024/05/29,8,brest,"[4.49, 48.39]",NO2,µg/m3,2.65
239,air quality sensor measurement,2024/05/30,13,toulouse,"[1.44, 43.6]",O3,µg/m3,6.97
240,air quality sensor measurement,2024/05/26,8,brest,"[4.49, 48.39]",O3,µg/m3,7.08
241,air quality sensor measurement,2024/05/25,3,lille,"[3.06, 50.63]",O3,µg/m3,9.18
242,air quality sensor measurement,2024/06/01,5,lille,"[3.06, 50.63]",PM10,µg/m3,3.3
243,air quality sensor measurement,2024/05/25,18,lille,"[3.06, 50.63]",CO,mg/m3,6.44
244,air quality sensor measurement,2024/05/29,8,marseille,"[5.37, 43.3]",CO,mg/m3,4.75
245,air quality sensor measurement,2024/06/02,3,lille,"[3.06, 50.63]",NO2,µg/m3,3.96
246,air quality sensor measurement,2024/05/29,8,brest,"[4.49, 48.39]",PM10,µg/m3,9.01
247,air quality sensor measurement,2024/05/30,1,brest,"[4.49, 48.39]",O3,µg/m3,2.63
248,air quality sensor measurement,2024/05/27,0,lille,"[3.06, 50.63]",PM2.5,µg/m3,0.9
249,air quality sensor measurement,2024/06/01,17,toulouse,"[1.44, 43.6]",CO,mg/m3,4.88
250,air quality sensor measurement,2024/05/31,1,brest,"[4.49, 48.39]",O3,µg/m3,8.41
251,air quality sensor measurement,2024/05/30,14,marseille,"[5.37, 43.3]",PM10,µg/m3,8.9
252,air quality sensor measurement,2024/05/29,13,brest,"[4.49, 48.39]",O3,µg/m3,6.71
253,air quality sensor measurement,2024/06/01,9,marseille,"[5.37, 43.3]",NO2,µg/m3,8.9
254,air quality sensor measurement,2024/05/30,10,brest,"[4.49, 48.39]",PM2.5,µg/m3,7.27
255,air quality sensor measurement,2024/05/24,15,strasbourg,"[7.75, 48.57]",O3,µg/m3,7.65
256,air quality sensor measurement,2024/05/26,5,brest,"[4.49, 48.39]",O3,µg/m3,7.78
257,air quality sensor measurement,2024/06/02,6,marseille,"[5.37, 43.3]",PM2.5,µg/m3,5.99
258,air quality sensor measurement,2024/06/01,23,marseille,"[5.37, 43.3]",NO2,µg/m3,7.29
259,air quality sensor measurement,2024/05/27,2,toulouse,"[1.44, 43.6]",CO,mg/m3,6.37
260,air quality sensor measurement,2024/05/25,3,toulouse,"[1.44, 43.6]",NO2,µg/m3,5.21
261,air quality sensor measurement,2024/05/24,17,toulouse,"[1.44, 43.6]",NO2,µg/m3,7.03
262,air quality sensor measurement,2024/05/28,5,toulouse,"[1.44, 43.6]",CO,mg/m3,9.35
263,air quality sensor measurement,2024/05/30,17,marseille,"[5.37, 43.3]",PM2.5,µg/m3,6.16
264,air quality sensor measurement,2024/05/31,21,marseille,"[5.37, 43.3]",PM10,µg/m3,2.65
265,air quality sensor measurement,2024/05/31,15,lille,"[3.06, 50.63]",CO,mg/m3,3.02
266,air quality sensor measurement,2024/05/25,11,toulouse,"[1.44, 43.6]",NO2,µg/m3,5.5
267,air quality sensor measurement,2024/06/02,15,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,3.82
268,air quality sensor measurement,2024/06/02,6,marseille,"[5.37, 43.3]",PM10,µg/m3,8.27
269,air quality sensor measurement,2024/06/01,13,marseille,"[5.37, 43.3]",O3,µg/m3,0.48
270,air quality sensor measurement,2024/05/26,23,marseille,"[5.37, 43.3]",PM10,µg/m3,0.44
271,air quality sensor measurement,2024/05/27,5,toulouse,"[1.44, 43.6]",PM2.5,µg/m3,4.92
